SEASONS,WINNERS_NATION,WINNERS_TEAM,SCORE,RUNNERS_UP_NATION,RUNNERS_UP_TEAM,VENUE,ATTENDANCE
1955–56,ESP,Real Madrid,4–3,FRA,Reims,"Parc des Princes, Paris, France","38,239"
1956–57,ESP,Real Madrid,2–0,ITA,Fiorentina,"Santiago Bernabéu, Madrid, Spain","124,000"
1957–58,ESP,Real Madrid,3–2,ITA,Milan,"Heysel Stadium, Brussels, Belgium","67,000"
1958–59,ESP,Real Madrid,2–0,FRA,Reims,"Neckarstadion, Stuttgart, West Germany","72,000"
1959–60,ESP,Real Madrid,7–3,GER,Eintracht Frankfurt,"Hampden Park, Glasgow, Scotland","127,621"
1960–61,POR,Benfica,3–2,ESP,Barcelona,"Wankdorf Stadium, Bern, Switzerland","26,732"
1961–62,POR,Benfica,5–3,ESP,Real Madrid,"Olympisch Stadion, Amsterdam, Netherlands","61,257"
1962–63,ITA,Milan,2–1,POR,Benfica,"Wembley Stadium, London, England","45,715"
1963–64,ITA,Inter Milan,3–1,ESP,Real Madrid,"Praterstadion, Vienna, Austria","71,333"
1964–65,ITA,Inter Milan,1–0,POR,Benfica,"San Siro, Milan, Italy","89,000"
1965–66,ESP,Real Madrid,2–1,YUG,Partizan,"Heysel Stadium, Brussels, Belgium","46,745"
1966–67,SCO,Celtic,2–1,ITA,Inter Milan,"Estádio Nacional, Lisbon, Portugal","45,000"
1967–68,ENG,Manchester United,4–1,POR,Benfica,"Wembley Stadium, London, England","92,225"
1968–69,ITA,Milan,4–1,NED,Ajax,"Santiago Bernabéu, Madrid, Spain","31,782"
1969–70,NED,Feyenoord,2–1,SCO,Celtic,"San Siro, Milan, Italy","53,187"
1970–71,NED,Ajax,2–0,GRE,Panathinaikos,"Wembley Stadium, London, England","83,179"
1971–72,NED,Ajax,2–0,ITA,Inter Milan,"De Kuip, Rotterdam, Netherlands","61,354"
1972–73,NED,Ajax,1–0,ITA,Juventus,"Red Star Stadium, Belgrade, SFR Yugoslavia","89,484"
1973–74,GER,Bayern Munich,1–1,ESP,Atlético Madrid,"Heysel Stadium, Brussels, Belgium","48,722"
1973–74,GER,Bayern Munich,4–0,ESP,Atlético Madrid,"Heysel Stadium, Brussels, Belgium","23,325"
